date,stock_id,beta_pe_ratio
2015-01-01,pe_ratio_0,0.3066132264529058
2015-01-02,pe_ratio_1,0.1783567134268537
2015-01-05,pe_ratio_2,0.1002004008016032
2015-01-06,pe_ratio_3,0.2264529058116232
2015-01-07,pe_ratio_4,0.7535070140280561
2015-01-08,pe_ratio_5,0.2785571142284569
2015-01-09,pe_ratio_6,0.9679358717434868
2015-01-12,pe_ratio_7,0.1302605210420841
2015-01-13,pe_ratio_8,0.7895791583166333
2015-01-14,pe_ratio_9,0.8316633266533067
2015-01-15,pe_ratio_10,0.6513026052104208
2015-01-16,pe_ratio_11,0.218436873747495
2015-01-19,pe_ratio_12,0.8537074148296593
2015-01-20,pe_ratio_13,0.1242484969939879
2015-01-21,pe_ratio_14,0.218436873747495
2015-01-22,pe_ratio_15,0.0440881763527054
2015-01-23,pe_ratio_16,0.5110220440881763
2015-01-26,pe_ratio_17,0.0040080160320641
2015-01-27,pe_ratio_18,0.2144288577154308
2015-01-28,pe_ratio_19,0.5951903807615231
2015-01-29,pe_ratio_20,0.7575150300601202
2015-01-30,pe_ratio_21,0.0501002004008016
2015-02-02,pe_ratio_22,0.8857715430861723
2015-02-03,pe_ratio_23,0.2965931863727455
2015-02-04,pe_ratio_24,0.1082164328657314
2015-02-05,pe_ratio_25,0.280561122244489
2015-02-06,pe_ratio_26,0.5350701402805611
2015-02-09,pe_ratio_27,0.3567134268537074
2015-02-10,pe_ratio_28,0.5551102204408818
2015-02-11,pe_ratio_29,0.1302605210420841
2015-02-12,pe_ratio_30,0.5470941883767535
2015-02-13,pe_ratio_31,0.5290581162324649
2015-02-16,pe_ratio_32,0.2124248496993988
2015-02-17,pe_ratio_33,0.8276553106212425
2015-02-18,pe_ratio_34,0.657314629258517
2015-02-19,pe_ratio_35,0.1162324649298597
2015-02-20,pe_ratio_36,0.3847695390781563
2015-02-23,pe_ratio_37,0.4889779559118236
2015-02-24,pe_ratio_38,0.4028056112224449
2015-02-25,pe_ratio_39,0.3787575150300601
2015-02-26,pe_ratio_40,0.3386773547094188
2015-02-27,pe_ratio_41,0.8697394789579158
2015-03-02,pe_ratio_42,0.0
2015-03-03,pe_ratio_43,0.1462925851703407
2015-03-04,pe_ratio_44,0.8837675350701403
2015-03-05,pe_ratio_45,0.4148296593186373
2015-03-06,pe_ratio_46,0.0080160320641282
2015-03-09,pe_ratio_47,0.468937875751503
2015-03-10,pe_ratio_48,0.7535070140280561
2015-03-11,pe_ratio_49,0.4669338677354709
2015-03-12,pe_ratio_50,0.4028056112224449
2015-03-13,pe_ratio_51,0.4749498997995992
2015-03-16,pe_ratio_52,0.5811623246492986
2015-03-17,pe_ratio_53,0.9859719438877756
2015-03-18,pe_ratio_54,0.7555110220440882
2015-03-19,pe_ratio_55,0.749498997995992
2015-03-20,pe_ratio_56,0.032064128256513
2015-03-23,pe_ratio_57,0.655310621242485
2015-03-24,pe_ratio_58,0.2965931863727455
2015-03-25,pe_ratio_59,0.4148296593186373
2015-03-26,pe_ratio_60,0.969939879759519
2015-03-27,pe_ratio_61,0.6092184368737475
2015-03-30,pe_ratio_62,0.8897795591182365
2015-03-31,pe_ratio_63,0.6893787575150301
2015-04-01,pe_ratio_64,0.2164328657314629
2015-04-02,pe_ratio_65,0.1743486973947896
2015-04-03,pe_ratio_66,0.7054108216432866
2015-04-06,pe_ratio_67,0.6913827655310621
2015-04-07,pe_ratio_68,0.0120240480961923
2015-04-08,pe_ratio_69,0.9198396793587176
2015-04-09,pe_ratio_70,0.1523046092184369
2015-04-10,pe_ratio_71,0.1683366733466934
2015-04-13,pe_ratio_72,0.2765531062124248
2015-04-14,pe_ratio_73,0.0881763527054108
2015-04-15,pe_ratio_74,0.8917835671342685
2015-04-16,pe_ratio_75,0.1062124248496994
2015-04-17,pe_ratio_76,0.3166332665330661
2015-04-20,pe_ratio_77,0.1302605210420841
2015-04-21,pe_ratio_78,0.3607214428857715
2015-04-22,pe_ratio_79,0.3527054108216433
2015-04-23,pe_ratio_80,0.7154308617234469
2015-04-24,pe_ratio_81,0.8276553106212425
2015-04-27,pe_ratio_82,0.6973947895791583
2015-04-28,pe_ratio_83,0.561122244488978
2015-04-29,pe_ratio_84,0.7034068136272545
2015-04-30,pe_ratio_85,0.3547094188376753
2015-05-01,pe_ratio_86,0.779559118236473
2015-05-04,pe_ratio_87,0.1783567134268537
2015-05-05,pe_ratio_88,0.280561122244489
2015-05-06,pe_ratio_89,0.0060120240480961
2015-05-07,pe_ratio_90,0.1503006012024048
2015-05-08,pe_ratio_91,0.9559118236472944
2015-05-11,pe_ratio_92,0.2905811623246493
2015-05-12,pe_ratio_93,0.3507014028056112
2015-05-13,pe_ratio_94,0.8336673346693386
2015-05-14,pe_ratio_95,0.1282565130260521
2015-05-15,pe_ratio_96,0.2705410821643286
2015-05-18,pe_ratio_97,0.811623246492986
2015-05-19,pe_ratio_98,0.0120240480961923
2015-05-20,pe_ratio_99,0.7535070140280561
2015-05-21,pe_ratio_100,0.4509018036072144
2015-05-22,pe_ratio_101,0.1723446893787575
2015-05-25,pe_ratio_102,0.5410821643286573
2015-05-26,pe_ratio_103,0.5290581162324649
2015-05-27,pe_ratio_104,0.0400801603206412
2015-05-28,pe_ratio_105,0.3547094188376753
2015-05-29,pe_ratio_106,0.1062124248496994
2015-06-01,pe_ratio_107,0.9879759519038076
2015-06-02,pe_ratio_108,0.2484969939879759
2015-06-03,pe_ratio_109,0.6432865731462926
2015-06-04,pe_ratio_110,0.2585170340681362
2015-06-05,pe_ratio_111,0.3687374749498998
2015-06-08,pe_ratio_112,0.3066132264529058
2015-06-09,pe_ratio_113,0.8997995991983968
2015-06-10,pe_ratio_114,0.7875751503006012
2015-06-11,pe_ratio_115,0.1462925851703407
2015-06-12,pe_ratio_116,0.4228456913827655
2015-06-15,pe_ratio_117,0.0701402805611222
2015-06-16,pe_ratio_118,0.6152304609218436
2015-06-17,pe_ratio_119,0.4529058116232465
2015-06-18,pe_ratio_120,0.4889779559118236
2015-06-19,pe_ratio_121,0.995991983967936
2015-06-22,pe_ratio_122,0.9078156312625252
2015-06-23,pe_ratio_123,0.6492985971943888
2015-06-24,pe_ratio_124,0.0621242484969939
2015-06-25,pe_ratio_125,0.501002004008016
2015-06-26,pe_ratio_126,0.687374749498998
2015-06-29,pe_ratio_127,0.5410821643286573
2015-06-30,pe_ratio_128,0.6312625250501002
2015-07-01,pe_ratio_129,0.8176352705410822
2015-07-02,pe_ratio_130,0.0701402805611222
2015-07-03,pe_ratio_131,0.3627254509018036
2015-07-06,pe_ratio_132,0.8557114228456913
2015-07-07,pe_ratio_133,0.9619238476953909
2015-07-08,pe_ratio_134,0.995991983967936
2015-07-09,pe_ratio_135,0.2104208416833667
2015-07-10,pe_ratio_136,0.8036072144288577
2015-07-13,pe_ratio_137,0.8216432865731463
2015-07-14,pe_ratio_138,0.3166332665330661
2015-07-15,pe_ratio_139,0.5110220440881763
2015-07-16,pe_ratio_140,0.3727454909819639
2015-07-17,pe_ratio_141,0.501002004008016
2015-07-20,pe_ratio_142,0.7675350701402806
2015-07-21,pe_ratio_143,0.4529058116232465
2015-07-22,pe_ratio_144,0.7735470941883767
2015-07-23,pe_ratio_145,0.2344689378757515
2015-07-24,pe_ratio_146,0.2945891783567134
2015-07-27,pe_ratio_147,0.1683366733466934
2015-07-28,pe_ratio_148,0.0801603206412825
2015-07-29,pe_ratio_149,0.2364729458917835
2015-07-30,pe_ratio_150,0.8156312625250501
2015-07-31,pe_ratio_151,0.997995991983968
2015-08-03,pe_ratio_152,0.6232464929859719
2015-08-04,pe_ratio_153,0.4028056112224449
2015-08-05,pe_ratio_154,0.1022044088176352
