date,stock_id,beta_accruals_st
2015-01-01,accruals_st_0,0.6933867735470942
2015-01-02,accruals_st_1,0.8216432865731463
2015-01-05,accruals_st_2,0.8997995991983968
2015-01-06,accruals_st_3,0.7735470941883767
2015-01-07,accruals_st_4,0.2464929859719438
2015-01-08,accruals_st_5,0.7214428857715431
2015-01-09,accruals_st_6,0.032064128256513
2015-01-12,accruals_st_7,0.8697394789579158
2015-01-13,accruals_st_8,0.2104208416833667
2015-01-14,accruals_st_9,0.1683366733466934
2015-01-15,accruals_st_10,0.3486973947895792
2015-01-16,accruals_st_11,0.781563126252505
2015-01-19,accruals_st_12,0.1462925851703407
2015-01-20,accruals_st_13,0.875751503006012
2015-01-21,accruals_st_14,0.781563126252505
2015-01-22,accruals_st_15,0.9559118236472944
2015-01-23,accruals_st_16,0.4889779559118236
2015-01-26,accruals_st_17,0.995991983967936
2015-01-27,accruals_st_18,0.7855711422845691
2015-01-28,accruals_st_19,0.4048096192384769
2015-01-29,accruals_st_20,0.2424849699398797
2015-01-30,accruals_st_21,0.9498997995991983
2015-02-02,accruals_st_22,0.1142284569138276
2015-02-03,accruals_st_23,0.7034068136272545
2015-02-04,accruals_st_24,0.8917835671342685
2015-02-05,accruals_st_25,0.7194388777555111
2015-02-06,accruals_st_26,0.4649298597194389
2015-02-09,accruals_st_27,0.6432865731462926
2015-02-10,accruals_st_28,0.4448897795591182
2015-02-11,accruals_st_29,0.8697394789579158
2015-02-12,accruals_st_30,0.4529058116232465
2015-02-13,accruals_st_31,0.4709418837675351
2015-02-16,accruals_st_32,0.7875751503006012
2015-02-17,accruals_st_33,0.1723446893787575
2015-02-18,accruals_st_34,0.342685370741483
2015-02-19,accruals_st_35,0.8837675350701403
2015-02-20,accruals_st_36,0.6152304609218436
2015-02-23,accruals_st_37,0.5110220440881763
2015-02-24,accruals_st_38,0.5971943887775552
2015-02-25,accruals_st_39,0.6212424849699398
2015-02-26,accruals_st_40,0.6613226452905812
2015-02-27,accruals_st_41,0.1302605210420841
2015-03-02,accruals_st_42,1.0
2015-03-03,accruals_st_43,0.8537074148296593
2015-03-04,accruals_st_44,0.1162324649298597
2015-03-05,accruals_st_45,0.5851703406813628
2015-03-06,accruals_st_46,0.9919839679358716
2015-03-09,accruals_st_47,0.531062124248497
2015-03-10,accruals_st_48,0.2464929859719438
2015-03-11,accruals_st_49,0.533066132264529
2015-03-12,accruals_st_50,0.5971943887775552
2015-03-13,accruals_st_51,0.5250501002004008
2015-03-16,accruals_st_52,0.4188376753507014
2015-03-17,accruals_st_53,0.0140280561122244
2015-03-18,accruals_st_54,0.2444889779559118
2015-03-19,accruals_st_55,0.250501002004008
2015-03-20,accruals_st_56,0.9679358717434868
2015-03-23,accruals_st_57,0.344689378757515
2015-03-24,accruals_st_58,0.7034068136272545
2015-03-25,accruals_st_59,0.5851703406813628
2015-03-26,accruals_st_60,0.0300601202404809
2015-03-27,accruals_st_61,0.3907815631262525
2015-03-30,accruals_st_62,0.1102204408817635
2015-03-31,accruals_st_63,0.3106212424849699
2015-04-01,accruals_st_64,0.7835671342685371
2015-04-02,accruals_st_65,0.8256513026052105
2015-04-03,accruals_st_66,0.2945891783567134
2015-04-06,accruals_st_67,0.3086172344689378
2015-04-07,accruals_st_68,0.9879759519038076
2015-04-08,accruals_st_69,0.0801603206412825
2015-04-09,accruals_st_70,0.8476953907815631
2015-04-10,accruals_st_71,0.8316633266533067
2015-04-13,accruals_st_72,0.7234468937875751
2015-04-14,accruals_st_73,0.9118236472945892
2015-04-15,accruals_st_74,0.1082164328657314
2015-04-16,accruals_st_75,0.8937875751503006
2015-04-17,accruals_st_76,0.6833667334669339
2015-04-20,accruals_st_77,0.8697394789579158
2015-04-21,accruals_st_78,0.6392785571142284
2015-04-22,accruals_st_79,0.6472945891783567
2015-04-23,accruals_st_80,0.2845691382765531
2015-04-24,accruals_st_81,0.1723446893787575
2015-04-27,accruals_st_82,0.3026052104208417
2015-04-28,accruals_st_83,0.438877755511022
2015-04-29,accruals_st_84,0.2965931863727455
2015-04-30,accruals_st_85,0.6452905811623246
2015-05-01,accruals_st_86,0.220440881763527
2015-05-04,accruals_st_87,0.8216432865731463
2015-05-05,accruals_st_88,0.7194388777555111
2015-05-06,accruals_st_89,0.9939879759519038
2015-05-07,accruals_st_90,0.8496993987975952
2015-05-08,accruals_st_91,0.0440881763527054
2015-05-11,accruals_st_92,0.7094188376753507
2015-05-12,accruals_st_93,0.6492985971943888
2015-05-13,accruals_st_94,0.1663326653306613
2015-05-14,accruals_st_95,0.8717434869739479
2015-05-15,accruals_st_96,0.7294589178356713
2015-05-18,accruals_st_97,0.188376753507014
2015-05-19,accruals_st_98,0.9879759519038076
2015-05-20,accruals_st_99,0.2464929859719438
2015-05-21,accruals_st_100,0.5490981963927856
2015-05-22,accruals_st_101,0.8276553106212425
2015-05-25,accruals_st_102,0.4589178356713427
2015-05-26,accruals_st_103,0.4709418837675351
2015-05-27,accruals_st_104,0.9599198396793588
2015-05-28,accruals_st_105,0.6452905811623246
2015-05-29,accruals_st_106,0.8937875751503006
2015-06-01,accruals_st_107,0.0120240480961923
2015-06-02,accruals_st_108,0.751503006012024
2015-06-03,accruals_st_109,0.3567134268537074
2015-06-04,accruals_st_110,0.7414829659318637
2015-06-05,accruals_st_111,0.6312625250501002
2015-06-08,accruals_st_112,0.6933867735470942
2015-06-09,accruals_st_113,0.1002004008016032
2015-06-10,accruals_st_114,0.2124248496993988
2015-06-11,accruals_st_115,0.8537074148296593
2015-06-12,accruals_st_116,0.5771543086172345
2015-06-15,accruals_st_117,0.9298597194388778
2015-06-16,accruals_st_118,0.3847695390781563
2015-06-17,accruals_st_119,0.5470941883767535
2015-06-18,accruals_st_120,0.5110220440881763
2015-06-19,accruals_st_121,0.0040080160320641
2015-06-22,accruals_st_122,0.0921843687374749
2015-06-23,accruals_st_123,0.3507014028056112
2015-06-24,accruals_st_124,0.937875751503006
2015-06-25,accruals_st_125,0.4989979959919839
2015-06-26,accruals_st_126,0.312625250501002
2015-06-29,accruals_st_127,0.4589178356713427
2015-06-30,accruals_st_128,0.3687374749498998
2015-07-01,accruals_st_129,0.1823647294589178
2015-07-02,accruals_st_130,0.9298597194388778
2015-07-03,accruals_st_131,0.6372745490981964
2015-07-06,accruals_st_132,0.1442885771543086
2015-07-07,accruals_st_133,0.0380761523046092
2015-07-08,accruals_st_134,0.0040080160320641
2015-07-09,accruals_st_135,0.7895791583166333
2015-07-10,accruals_st_136,0.1963927855711423
2015-07-13,accruals_st_137,0.1783567134268537
2015-07-14,accruals_st_138,0.6833667334669339
2015-07-15,accruals_st_139,0.4889779559118236
2015-07-16,accruals_st_140,0.627254509018036
2015-07-17,accruals_st_141,0.4989979959919839
2015-07-20,accruals_st_142,0.2324649298597194
2015-07-21,accruals_st_143,0.5470941883767535
2015-07-22,accruals_st_144,0.2264529058116232
2015-07-23,accruals_st_145,0.7655310621242485
2015-07-24,accruals_st_146,0.7054108216432866
2015-07-27,accruals_st_147,0.8316633266533067
2015-07-28,accruals_st_148,0.9198396793587176
2015-07-29,accruals_st_149,0.7635270541082164
2015-07-30,accruals_st_150,0.1843687374749499
2015-07-31,accruals_st_151,0.002004008016032
2015-08-03,accruals_st_152,0.376753507014028
2015-08-04,accruals_st_153,0.5971943887775552
2015-08-05,accruals_st_154,0.8977955911823647
2015-08-06,accruals_st_155,0.4188376753507014
2015-08-07,accruals_st_156,0.0480961923847695
2015-08-10,accruals_st_157,0.8957915831663327
2015-08-11,accruals_st_158,0.1422845691382765
2015-08-12,accruals_st_159,0.593186372745491
2015-08-13,accruals_st_160,0.8056112224448898
2015-08-14,accruals_st_161,0.0881763527054108
2015-08-17,accruals_st_162,0.1482965931863727
2015-08-18,accruals_st_163,0.2945891783567134
2015-08-19,accruals_st_164,0.625250501002004
2015-08-20,accruals_st_165,0.7575150300601202
2015-08-21,accruals_st_166,0.280561122244489
2015-08-24,accruals_st_167,0.3266533066132264
2015-08-25,accruals_st_168,0.3507014028056112
2015-08-26,accruals_st_169,0.0160320641282565
2015-08-27,accruals_st_170,0.9458917835671342
2015-08-28,accruals_st_171,0.8336673346693386
2015-08-31,accruals_st_172,0.0621242484969939
2015-09-01,accruals_st_173,0.8416833667334669
2015-09-02,accruals_st_174,0.9519038076152304
2015-09-03,accruals_st_175,0.3727454909819639
2015-09-04,accruals_st_176,0.5050100200400801
2015-09-07,accruals_st_177,0.5791583166332666
2015-09-08,accruals_st_178,0.9038076152304608
2015-09-09,accruals_st_179,0.6072144288577155
2015-09-10,accruals_st_180,0.8196392785571143
2015-09-11,accruals_st_181,0.1903807615230461
2015-09-14,accruals_st_182,0.2324649298597194
2015-09-15,accruals_st_183,0.2665330661322645
2015-09-16,accruals_st_184,0.5050100200400801
2015-09-17,accruals_st_185,0.4468937875751503
2015-09-18,accruals_st_186,0.8917835671342685
2015-09-21,accruals_st_187,0.4348697394789579
2015-09-22,accruals_st_188,0.5691382765531062
2015-09-23,accruals_st_189,0.4168336673346693
2015-09-24,accruals_st_190,0.3226452905811623
2015-09-25,accruals_st_191,0.3046092184368738
2015-09-28,accruals_st_192,0.7194388777555111
2015-09-29,accruals_st_193,0.5350701402805611
2015-09-30,accruals_st_194,0.9679358717434868
2015-10-01,accruals_st_195,0.8677354709418837
2015-10-02,accruals_st_196,0.3827655310621242
2015-10-05,accruals_st_197,0.7895791583166333
2015-10-06,accruals_st_198,0.9158316633266532
2015-10-07,accruals_st_199,0.9438877755511024
