date,stock_id,beta_momentum_12_1
2015-01-01,momentum_12_1_0,0.6933867735470942
2015-01-02,momentum_12_1_1,0.8216432865731463
2015-01-05,momentum_12_1_2,0.8997995991983968
2015-01-06,momentum_12_1_3,0.7735470941883767
2015-01-07,momentum_12_1_4,0.2464929859719438
2015-01-08,momentum_12_1_5,0.7214428857715431
2015-01-09,momentum_12_1_6,0.032064128256513
2015-01-12,momentum_12_1_7,0.8697394789579158
2015-01-13,momentum_12_1_8,0.2104208416833667
2015-01-14,momentum_12_1_9,0.1683366733466934
2015-01-15,momentum_12_1_10,0.3486973947895792
2015-01-16,momentum_12_1_11,0.781563126252505
2015-01-19,momentum_12_1_12,0.1462925851703407
2015-01-20,momentum_12_1_13,0.875751503006012
2015-01-21,momentum_12_1_14,0.781563126252505
2015-01-22,momentum_12_1_15,0.9559118236472944
2015-01-23,momentum_12_1_16,0.4889779559118236
2015-01-26,momentum_12_1_17,0.995991983967936
2015-01-27,momentum_12_1_18,0.7855711422845691
2015-01-28,momentum_12_1_19,0.4048096192384769
2015-01-29,momentum_12_1_20,0.2424849699398797
2015-01-30,momentum_12_1_21,0.9498997995991983
2015-02-02,momentum_12_1_22,0.1142284569138276
2015-02-03,momentum_12_1_23,0.7034068136272545
2015-02-04,momentum_12_1_24,0.8917835671342685
2015-02-05,momentum_12_1_25,0.7194388777555111
2015-02-06,momentum_12_1_26,0.4649298597194389
2015-02-09,momentum_12_1_27,0.6432865731462926
2015-02-10,momentum_12_1_28,0.4448897795591182
2015-02-11,momentum_12_1_29,0.8697394789579158
2015-02-12,momentum_12_1_30,0.4529058116232465
2015-02-13,momentum_12_1_31,0.4709418837675351
2015-02-16,momentum_12_1_32,0.7875751503006012
2015-02-17,momentum_12_1_33,0.1723446893787575
2015-02-18,momentum_12_1_34,0.342685370741483
2015-02-19,momentum_12_1_35,0.8837675350701403
2015-02-20,momentum_12_1_36,0.6152304609218436
2015-02-23,momentum_12_1_37,0.5110220440881763
2015-02-24,momentum_12_1_38,0.5971943887775552
2015-02-25,momentum_12_1_39,0.6212424849699398
2015-02-26,momentum_12_1_40,0.6613226452905812
2015-02-27,momentum_12_1_41,0.1302605210420841
2015-03-02,momentum_12_1_42,1.0
2015-03-03,momentum_12_1_43,0.8537074148296593
2015-03-04,momentum_12_1_44,0.1162324649298597
2015-03-05,momentum_12_1_45,0.5851703406813628
2015-03-06,momentum_12_1_46,0.9919839679358716
2015-03-09,momentum_12_1_47,0.531062124248497
2015-03-10,momentum_12_1_48,0.2464929859719438
