date,stock_id,beta_volatility_6m
2015-01-01,volatility_6m_0,0.627254509018036
2015-01-02,volatility_6m_1,0.3366733466933868
2015-01-05,volatility_6m_2,0.1683366733466934
2015-01-06,volatility_6m_3,0.4228456913827655
2015-01-07,volatility_6m_4,0.4929859719438877
2015-01-08,volatility_6m_5,0.5531062124248497
2015-01-09,volatility_6m_6,0.0621242484969939
2015-01-12,volatility_6m_7,0.2625250501002004
2015-01-13,volatility_6m_8,0.3787575150300601
2015-01-14,volatility_6m_9,0.3206412825651302
2015-01-15,volatility_6m_10,0.6533066132264529
2015-01-16,volatility_6m_11,0.4769539078156312
2015-01-19,volatility_6m_12,0.2725450901803607
2015-01-20,volatility_6m_13,0.25250501002004
2015-01-21,volatility_6m_14,0.43687374749499
2015-01-22,volatility_6m_15,0.0801603206412825
2015-01-23,volatility_6m_16,0.9739478957915833
2015-01-26,volatility_6m_17,0.0060120240480961
2015-01-27,volatility_6m_18,0.43687374749499
2015-01-28,volatility_6m_19,0.8016032064128257
2015-01-29,volatility_6m_20,0.4749498997995992
2015-01-30,volatility_6m_21,0.1182364729458917
2015-02-02,volatility_6m_22,0.2224448897795591
2015-02-03,volatility_6m_23,0.593186372745491
2015-02-04,volatility_6m_24,0.2144288577154308
2015-02-05,volatility_6m_25,0.591182364729459
2015-02-06,volatility_6m_26,0.9939879759519038
2015-02-09,volatility_6m_27,0.6833667334669339
2015-02-10,volatility_6m_28,0.8557114228456913
2015-02-11,volatility_6m_29,0.2404809619238476
2015-02-12,volatility_6m_30,0.8877755511022044
2015-02-13,volatility_6m_31,0.9238476953907816
2015-02-16,volatility_6m_32,0.4028056112224449
2015-02-17,volatility_6m_33,0.3667334669338677
2015-02-18,volatility_6m_34,0.7134268537074149
2015-02-19,volatility_6m_35,0.2104208416833667
2015-02-20,volatility_6m_36,0.7555110220440882
2015-02-23,volatility_6m_37,0.939879759519038
2015-02-24,volatility_6m_38,0.7835671342685371
2015-02-25,volatility_6m_39,0.7294589178356713
2015-02-26,volatility_6m_40,0.7254509018036072
2015-02-27,volatility_6m_41,0.2725450901803607
2015-03-02,volatility_6m_42,0.0060120240480961
2015-03-03,volatility_6m_43,0.280561122244489
2015-03-04,volatility_6m_44,0.188376753507014
2015-03-05,volatility_6m_45,0.8096192384769539
2015-03-06,volatility_6m_46,0.0240480961923847
2015-03-09,volatility_6m_47,0.9859719438877756
2015-03-10,volatility_6m_48,0.4769539078156312
2015-03-11,volatility_6m_49,0.933867735470942
