date,stock_id,beta_momentum_12_1,beta_pe_ratio,beta_momentum_1,beta_accruals_st,beta_volatility_6m
2015-01-01,0.3066132264529058,,0.561122244488978,0.561122244488978,,
2015-01-01,0.627254509018036,,,,,0.8817635270541082
2015-01-01,0.6933867735470942,0.438877755511022,,,0.438877755511022,
2015-01-02,0.1783567134268537,,0.0220440881763527,0.0220440881763527,,
2015-01-02,0.3366733466933868,,,,,0.0420841683366733
2015-01-02,0.8216432865731463,0.9779559118236472,,,0.9779559118236472,
2015-01-05,0.1002004008016032,,0.2144288577154308,0.2144288577154308,,
2015-01-05,0.1683366733466934,,,,,0.374749498997996
2015-01-05,0.8997995991983968,0.7855711422845691,,,0.7855711422845691,
2015-01-06,0.2264529058116232,,0.7374749498997996,0.7374749498997996,,
2015-01-06,0.4228456913827655,,,,,0.5551102204408818
2015-01-06,0.7735470941883767,0.2625250501002004,,,0.2625250501002004,
2015-01-07,0.2464929859719438,0.4488977955911823,,,0.4488977955911823,
2015-01-07,0.4929859719438877,,,,,0.8957915831663327
2015-01-07,0.7535070140280561,,0.5511022044088176,0.5511022044088176,,
2015-01-08,0.2785571142284569,,0.158316633266533,0.158316633266533,,
2015-01-08,0.5531062124248497,,,,,0.3086172344689378
2015-01-08,0.7214428857715431,0.8416833667334669,,,0.8416833667334669,
2015-01-09,0.032064128256513,0.2224448897795591,,,0.2224448897795591,
2015-01-09,0.0621242484969939,,,,,0.4288577154308617
2015-01-09,0.9679358717434868,,0.7775551102204409,0.7775551102204409,,
2015-01-12,0.1302605210420841,,0.717434869739479,0.717434869739479,,
2015-01-12,0.2625250501002004,,,,,0.531062124248497
2015-01-12,0.8697394789579158,0.282565130260521,,,0.282565130260521,
2015-01-13,0.2104208416833667,0.5050100200400801,,,0.5050100200400801,
2015-01-13,0.3787575150300601,,,,,0.9739478957915833
2015-01-13,0.7895791583166333,,0.4949899799599198,0.4949899799599198,,
2015-01-14,0.1683366733466934,0.0801603206412825,,,0.0801603206412825,
2015-01-14,0.3206412825651302,,,,,0.1543086172344689
2015-01-14,0.8316633266533067,,0.9198396793587176,0.9198396793587176,,
2015-01-15,0.3486973947895792,0.3326653306613226,,,0.3326653306613226,
2015-01-15,0.6513026052104208,,0.6673346693386774,0.6673346693386774,,
2015-01-15,0.6533066132264529,,,,,0.6232464929859719
2015-01-16,0.218436873747495,,0.2705410821643286,0.2705410821643286,,
2015-01-16,0.4769539078156312,,,,,0.5951903807615231
2015-01-16,0.781563126252505,0.7294589178356713,,,0.7294589178356713,
2015-01-19,0.1462925851703407,0.2705410821643286,,,0.2705410821643286,
2015-01-19,0.2725450901803607,,,,,0.5370741482965932
2015-01-19,0.8537074148296593,,0.7294589178356713,0.7294589178356713,,
2015-01-20,0.1242484969939879,,0.8677354709418837,0.8677354709418837,,
2015-01-20,0.25250501002004,,,,,0.2585170340681362
2015-01-20,0.875751503006012,0.1322645290581162,,,0.1322645290581162,
2015-01-21,0.218436873747495,,0.9498997995991983,0.9498997995991983,,
2015-01-21,0.43687374749499,,,,,0.0921843687374749
2015-01-21,0.781563126252505,0.0501002004008016,,,0.0501002004008016,
2015-01-22,0.0440881763527054,,0.4569138276553106,0.4569138276553106,,
2015-01-22,0.0801603206412825,,,,,0.9078156312625252
2015-01-22,0.9559118236472944,0.5430861723446894,,,0.5430861723446894,
2015-01-23,0.4889779559118236,0.3226452905811623,,,0.3226452905811623,
2015-01-23,0.5110220440881763,,0.6773547094188377,0.6773547094188377,,
2015-01-23,0.9739478957915833,,,,,0.6372745490981964
2015-01-26,0.0040080160320641,,0.7194388777555111,0.7194388777555111,,
2015-01-26,0.0060120240480961,,,,,0.6172344689378757
2015-01-26,0.995991983967936,0.280561122244489,,,0.280561122244489,
2015-01-27,0.2144288577154308,,0.1382765531062124,0.1382765531062124,,
2015-01-27,0.43687374749499,,,,,0.280561122244489
2015-01-27,0.7855711422845691,0.8617234468937875,,,0.8617234468937875,
2015-01-28,0.4048096192384769,0.9218436873747496,,,0.9218436873747496,
2015-01-28,0.5951903807615231,,0.0781563126252505,0.0781563126252505,,
2015-01-28,0.8016032064128257,,,,,0.1663326653306613
2015-01-29,0.2424849699398797,0.376753507014028,,,0.376753507014028,
2015-01-29,0.4749498997995992,,,,,0.7394789579158316
2015-01-29,0.7575150300601202,,0.6232464929859719,0.6232464929859719,,
2015-01-30,0.0501002004008016,,0.0801603206412825,0.0801603206412825,,
2015-01-30,0.1182364729458917,,,,,0.1863727454909819
2015-01-30,0.9498997995991983,0.9198396793587176,,,0.9198396793587176,
2015-02-02,0.1142284569138276,0.6893787575150301,,,0.6893787575150301,
2015-02-02,0.2224448897795591,,,,,0.6492985971943888
2015-02-02,0.8857715430861723,,0.3106212424849699,0.3106212424849699,,
2015-02-03,0.2965931863727455,,0.3486973947895792,0.3486973947895792,,
2015-02-03,0.593186372745491,,,,,0.685370741482966
2015-02-03,0.7034068136272545,0.6513026052104208,,,0.6513026052104208,
2015-02-04,0.1082164328657314,,0.9719438877755512,0.9719438877755512,,
2015-02-04,0.2144288577154308,,,,,0.0561122244488977
2015-02-04,0.8917835671342685,0.0280561122244488,,,0.0280561122244488,
2015-02-05,0.280561122244489,,0.8296593186372746,0.8296593186372746,,
2015-02-05,0.591182364729459,,,,,0.3226452905811623
2015-02-05,0.7194388777555111,0.1703406813627254,,,0.1703406813627254,
2015-02-06,0.4649298597194389,0.6933867735470942,,,0.6933867735470942,
2015-02-06,0.5350701402805611,,0.3066132264529058,0.3066132264529058,,
2015-02-06,0.9939879759519038,,,,,0.5971943887775552
2015-02-09,0.3567134268537074,,0.4308617234468938,0.4308617234468938,,
2015-02-09,0.6432865731462926,0.5691382765531062,,,0.5691382765531062,
2015-02-09,0.6833667334669339,,,,,0.8216432865731463
2015-02-10,0.4448897795591182,0.4468937875751503,,,0.4468937875751503,
2015-02-10,0.5551102204408818,,0.5531062124248497,0.5531062124248497,,
2015-02-10,0.8557114228456913,,,,,0.8597194388777555
2015-02-11,0.1302605210420841,,0.5210420841683366,0.5210420841683366,,
2015-02-11,0.2404809619238476,,,,,0.9819639278557114
2015-02-11,0.8697394789579158,0.4789579158316633,,,0.4789579158316633,
2015-02-12,0.4529058116232465,0.4869739478957915,,,0.4869739478957915,
2015-02-12,0.5470941883767535,,0.5130260521042084,0.5130260521042084,,
2015-02-12,0.8877755511022044,,,,,0.9719438877755512
2015-02-13,0.4709418837675351,0.8476953907815631,,,0.8476953907815631,
2015-02-13,0.5290581162324649,,0.1523046092184369,0.1523046092184369,,
2015-02-13,0.9238476953907816,,,,,0.2865731462925852
2015-02-16,0.2124248496993988,,0.4829659318637274,0.4829659318637274,,
2015-02-16,0.4028056112224449,,,,,0.9579158316633266
2015-02-16,0.7875751503006012,0.5170340681362725,,,0.5170340681362725,
2015-02-17,0.1723446893787575,0.8156312625250501,,,0.8156312625250501,
2015-02-17,0.3667334669338677,,,,,0.3507014028056112
2015-02-17,0.8276553106212425,,0.1843687374749499,0.1843687374749499,,
2015-02-18,0.342685370741483,0.56312625250501,,,0.56312625250501,
2015-02-18,0.657314629258517,,0.43687374749499,0.43687374749499,,
2015-02-18,0.7134268537074149,,,,,0.8557114228456913
