date,stock_id,beta_momentum_1
2015-01-01,momentum_1_0,0.3066132264529058
2015-01-02,momentum_1_1,0.1783567134268537
2015-01-05,momentum_1_2,0.1002004008016032
2015-01-06,momentum_1_3,0.2264529058116232
2015-01-07,momentum_1_4,0.7535070140280561
2015-01-08,momentum_1_5,0.2785571142284569
2015-01-09,momentum_1_6,0.9679358717434868
2015-01-12,momentum_1_7,0.1302605210420841
2015-01-13,momentum_1_8,0.7895791583166333
2015-01-14,momentum_1_9,0.8316633266533067
2015-01-15,momentum_1_10,0.6513026052104208
2015-01-16,momentum_1_11,0.218436873747495
2015-01-19,momentum_1_12,0.8537074148296593
2015-01-20,momentum_1_13,0.1242484969939879
2015-01-21,momentum_1_14,0.218436873747495
2015-01-22,momentum_1_15,0.0440881763527054
2015-01-23,momentum_1_16,0.5110220440881763
2015-01-26,momentum_1_17,0.0040080160320641
2015-01-27,momentum_1_18,0.2144288577154308
2015-01-28,momentum_1_19,0.5951903807615231
2015-01-29,momentum_1_20,0.7575150300601202
2015-01-30,momentum_1_21,0.0501002004008016
2015-02-02,momentum_1_22,0.8857715430861723
2015-02-03,momentum_1_23,0.2965931863727455
2015-02-04,momentum_1_24,0.1082164328657314
2015-02-05,momentum_1_25,0.280561122244489
2015-02-06,momentum_1_26,0.5350701402805611
2015-02-09,momentum_1_27,0.3567134268537074
2015-02-10,momentum_1_28,0.5551102204408818
2015-02-11,momentum_1_29,0.1302605210420841
2015-02-12,momentum_1_30,0.5470941883767535
2015-02-13,momentum_1_31,0.5290581162324649
2015-02-16,momentum_1_32,0.2124248496993988
2015-02-17,momentum_1_33,0.8276553106212425
2015-02-18,momentum_1_34,0.657314629258517
2015-02-19,momentum_1_35,0.1162324649298597
2015-02-20,momentum_1_36,0.3847695390781563
2015-02-23,momentum_1_37,0.4889779559118236
2015-02-24,momentum_1_38,0.4028056112224449
2015-02-25,momentum_1_39,0.3787575150300601
2015-02-26,momentum_1_40,0.3386773547094188
2015-02-27,momentum_1_41,0.8697394789579158
2015-03-02,momentum_1_42,0.0
2015-03-03,momentum_1_43,0.1462925851703407
2015-03-04,momentum_1_44,0.8837675350701403
2015-03-05,momentum_1_45,0.4148296593186373
2015-03-06,momentum_1_46,0.0080160320641282
2015-03-09,momentum_1_47,0.468937875751503
2015-03-10,momentum_1_48,0.7535070140280561
2015-03-11,momentum_1_49,0.4669338677354709
2015-03-12,momentum_1_50,0.4028056112224449
2015-03-13,momentum_1_51,0.4749498997995992
2015-03-16,momentum_1_52,0.5811623246492986
2015-03-17,momentum_1_53,0.9859719438877756
2015-03-18,momentum_1_54,0.7555110220440882
2015-03-19,momentum_1_55,0.749498997995992
2015-03-20,momentum_1_56,0.032064128256513
2015-03-23,momentum_1_57,0.655310621242485
2015-03-24,momentum_1_58,0.2965931863727455
2015-03-25,momentum_1_59,0.4148296593186373
2015-03-26,momentum_1_60,0.969939879759519
2015-03-27,momentum_1_61,0.6092184368737475
2015-03-30,momentum_1_62,0.8897795591182365
2015-03-31,momentum_1_63,0.6893787575150301
2015-04-01,momentum_1_64,0.2164328657314629
